Namespace(b1=0.5, b2=0.999, batch_size=64, channels=3, img_size=64, latent_dim=100, lr=0.0002, n_cpu=8, n_epochs=200, sample_interval=400)
[Epoch 0/200] [Batch 0/91] [D loss: 0.699746] [G loss: 0.684120]
[Epoch 0/200] [Batch 1/91] [D loss: 0.560476] [G loss: 0.684029]
[Epoch 0/200] [Batch 2/91] [D loss: 0.464399] [G loss: 0.687084]
[Epoch 0/200] [Batch 3/91] [D loss: 0.407979] [G loss: 0.691369]
[Epoch 0/200] [Batch 4/91] [D loss: 0.417882] [G loss: 0.696291]
[Epoch 0/200] [Batch 5/91] [D loss: 0.415507] [G loss: 0.701299]
[Epoch 0/200] [Batch 6/91] [D loss: 0.387158] [G loss: 0.706056]
[Epoch 0/200] [Batch 7/91] [D loss: 0.377281] [G loss: 0.711392]
[Epoch 0/200] [Batch 8/91] [D loss: 0.354086] [G loss: 0.717075]
[Epoch 0/200] [Batch 9/91] [D loss: 0.363566] [G loss: 0.721411]
[Epoch 0/200] [Batch 10/91] [D loss: 0.348104] [G loss: 0.725035]
[Epoch 0/200] [Batch 11/91] [D loss: 0.358339] [G loss: 0.727309]
[Epoch 0/200] [Batch 12/91] [D loss: 0.349794] [G loss: 0.733279]
[Epoch 0/200] [Batch 13/91] [D loss: 0.349261] [G loss: 0.733366]
[Epoch 0/200] [Batch 14/91] [D loss: 0.358251] [G loss: 0.731825]
[Epoch 0/200] [Batch 15/91] [D loss: 0.367539] [G loss: 0.734248]
[Epoch 0/200] [Batch 16/91] [D loss: 0.364791] [G loss: 0.732944]
[Epoch 0/200] [Batch 17/91] [D loss: 0.364891] [G loss: 0.723780]
[Epoch 0/200] [Batch 18/91] [D loss: 0.375215] [G loss: 0.706680]
[Epoch 0/200] [Batch 19/91] [D loss: 0.394487] [G loss: 0.695868]
[Epoch 0/200] [Batch 20/91] [D loss: 0.404958] [G loss: 0.711643]
[Epoch 0/200] [Batch 21/91] [D loss: 0.398813] [G loss: 0.652858]
[Epoch 0/200] [Batch 22/91] [D loss: 0.368278] [G loss: 0.702553]
[Epoch 0/200] [Batch 23/91] [D loss: 0.345353] [G loss: 0.775006]
[Epoch 0/200] [Batch 24/91] [D loss: 0.319225] [G loss: 0.808402]
[Epoch 0/200] [Batch 25/91] [D loss: 0.307073] [G loss: 0.853527]
[Epoch 0/200] [Batch 26/91] [D loss: 0.315959] [G loss: 0.870908]
[Epoch 0/200] [Batch 27/91] [D loss: 0.310099] [G loss: 0.858588]
[Epoch 0/200] [Batch 28/91] [D loss: 0.312928] [G loss: 0.836925]
[Epoch 0/200] [Batch 29/91] [D loss: 0.356200] [G loss: 0.801785]
[Epoch 0/200] [Batch 30/91] [D loss: 0.431968] [G loss: 0.576376]
[Epoch 0/200] [Batch 31/91] [D loss: 0.432119] [G loss: 0.581714]
[Epoch 0/200] [Batch 32/91] [D loss: 0.423933] [G loss: 0.604200]
[Epoch 0/200] [Batch 33/91] [D loss: 0.432200] [G loss: 0.618256]
[Epoch 0/200] [Batch 34/91] [D loss: 0.450367] [G loss: 0.542846]
[Epoch 0/200] [Batch 35/91] [D loss: 0.443993] [G loss: 0.558521]
[Epoch 0/200] [Batch 36/91] [D loss: 0.415867] [G loss: 0.592472]
[Epoch 0/200] [Batch 37/91] [D loss: 0.414298] [G loss: 0.628642]
[Epoch 0/200] [Batch 38/91] [D loss: 0.379283] [G loss: 0.656431]
[Epoch 0/200] [Batch 39/91] [D loss: 0.359015] [G loss: 0.687533]
[Epoch 0/200] [Batch 40/91] [D loss: 0.345766] [G loss: 0.734705]
[Epoch 0/200] [Batch 41/91] [D loss: 0.324255] [G loss: 0.778795]
[Epoch 0/200] [Batch 42/91] [D loss: 0.293546] [G loss: 0.828098]
[Epoch 0/200] [Batch 43/91] [D loss: 0.277222] [G loss: 0.888765]
[Epoch 0/200] [Batch 44/91] [D loss: 0.257491] [G loss: 0.949380]
[Epoch 0/200] [Batch 45/91] [D loss: 0.236335] [G loss: 1.008873]
[Epoch 0/200] [Batch 46/91] [D loss: 0.214825] [G loss: 1.086633]
[Epoch 0/200] [Batch 47/91] [D loss: 0.197523] [G loss: 1.157295]
[Epoch 0/200] [Batch 48/91] [D loss: 0.176945] [G loss: 1.241127]
[Epoch 0/200] [Batch 49/91] [D loss: 0.162284] [G loss: 1.326589]
[Epoch 0/200] [Batch 50/91] [D loss: 0.146173] [G loss: 1.411090]
[Epoch 0/200] [Batch 51/91] [D loss: 0.137128] [G loss: 1.495183]
[Epoch 0/200] [Batch 52/91] [D loss: 0.123142] [G loss: 1.561985]
[Epoch 0/200] [Batch 53/91] [D loss: 0.121383] [G loss: 1.617135]
[Epoch 0/200] [Batch 54/91] [D loss: 0.116300] [G loss: 1.602066]
[Epoch 0/200] [Batch 55/91] [D loss: 0.123377] [G loss: 1.558151]
[Epoch 0/200] [Batch 56/91] [D loss: 0.152634] [G loss: 1.458759]
[Epoch 0/200] [Batch 57/91] [D loss: 0.206396] [G loss: 1.281010]
[Epoch 0/200] [Batch 58/91] [D loss: 0.334754] [G loss: 1.058382]
[Epoch 0/200] [Batch 59/91] [D loss: 0.518262] [G loss: 0.638446]
[Epoch 0/200] [Batch 60/91] [D loss: 0.554994] [G loss: 0.521164]
[Epoch 0/200] [Batch 61/91] [D loss: 0.539071] [G loss: 0.473718]
[Epoch 0/200] [Batch 62/91] [D loss: 0.597460] [G loss: 0.522356]
[Epoch 0/200] [Batch 63/91] [D loss: 0.632511] [G loss: 0.347158]
[Epoch 0/200] [Batch 64/91] [D loss: 0.678096] [G loss: 0.342825]
[Epoch 0/200] [Batch 65/91] [D loss: 0.533320] [G loss: 0.432038]
[Epoch 0/200] [Batch 66/91] [D loss: 0.436946] [G loss: 0.549153]
[Epoch 0/200] [Batch 67/91] [D loss: 0.362632] [G loss: 0.672383]
[Epoch 0/200] [Batch 68/91] [D loss: 0.318976] [G loss: 0.791050]
[Epoch 0/200] [Batch 69/91] [D loss: 0.277283] [G loss: 0.915604]
[Epoch 0/200] [Batch 70/91] [D loss: 0.244409] [G loss: 1.026199]
[Epoch 0/200] [Batch 71/91] [D loss: 0.222948] [G loss: 1.098275]
[Epoch 0/200] [Batch 72/91] [D loss: 0.200813] [G loss: 1.149894]
[Epoch 0/200] [Batch 73/91] [D loss: 0.194337] [G loss: 1.205701]
[Epoch 0/200] [Batch 74/91] [D loss: 0.199060] [G loss: 1.198960]
[Epoch 0/200] [Batch 75/91] [D loss: 0.210219] [G loss: 1.145526]
[Epoch 0/200] [Batch 76/91] [D loss: 0.207324] [G loss: 1.123652]
